Model run by xnw17 using Apollo 0.3.6 on R 4.5.2 for Darwin.
Please acknowledge the use of Apollo by citing Hess & Palma (2019)
  DOI 10.1016/j.jocm.2019.100170
  www.ApolloChoiceModelling.com

Model name                                  : removebadcase_piecewise_rangeloss_car_suv_lc_6c_1
Model description                           : LC model with 6 classes, piecewise linear range and range loss
Model run at                                : 2026-06-18 18:26:05.851314
Estimation method                           : bgw
Estimation diagnosis                        : Relative function convergence (favorable)
Optimisation diagnosis                      : Maximum found
     hessian properties                     : Negative definite
     maximum eigenvalue                     : -0.306197
     reciprocal of condition number         : 3.95093e-06
Number of individuals                       : 2691
Number of rows in database                  : 16146
Number of modelled outcomes                 : 16146

Number of cores used                        :  6 
Model without mixing

LL(start)                                   : -14956.65
LL (whole model) at equal shares, LL(0)     : -22383.11
LL (whole model) at observed shares, LL(C)  : -22214.38
LL(final, whole model)                      : -14941.62
Rho-squared vs equal shares                  :  0.3325 
Adj.Rho-squared vs equal shares              :  0.3271 
Rho-squared vs observed shares               :  0.3274 
Adj.Rho-squared vs observed shares           :  0.3228 
AIC                                         :  30125.25 
BIC                                         :  31055.67 

LL(0,Class_1)                    : -22383.11
LL(final,Class_1)                : -60580.77
LL(0,Class_2)                    : -22383.11
LL(final,Class_2)                : -28420.93
LL(0,Class_3)                    : -22383.11
LL(final,Class_3)                : -32352.56
LL(0,Class_4)                    : -22383.11
LL(final,Class_4)                : -24853.58
LL(0,Class_5)                    : -22383.11
LL(final,Class_5)                : -20971.12
LL(0,Class_6)                    : -22383.11
LL(final,Class_6)                : -33829.76

Estimated parameters                        : 121
Time taken (hh:mm:ss)                       :  00:09:42.4 
     pre-estimation                         :  00:00:15.59 
     estimation                             :  00:00:11.83 
     post-estimation                        :  00:09:14.97 
Iterations                                  :  14  

Unconstrained optimisation.

Estimates:
                                 Estimate        s.e.   t.rat.(0)  p(2-sided)    Rob.s.e.
delta_c                                            0.022950                      0.005511
gamma_EV_rangeanxiety_c                           -0.018288                    8.4108e-04
gamma_risktaker_c                                 -0.003198                    4.9318e-04
gamma_hhincome_c                                 4.2343e-04                    -1.350e-05
gamma_ev_charge_c                                  0.001911                   -7.0295e-04
gamma_knowledge_ev_c                              -0.019842                    1.5614e-04
gamma_evb_environment_agree_c                      0.003032                     -0.002126
gamma_evb_function_disagree_c                     -0.002992                      0.001509
gamma_hhveh_fuel_c                                -0.031025                     -0.001558
gamma_veh_range_c                                  0.005987                   -4.3232e-04
gamma_suv_c                                        0.068042                     -0.006026
delta_d                                            0.024209                     2.192e-05
gamma_EV_rangeanxiety_d                           -0.005639                   -2.9752e-04
gamma_risktaker_d                                  0.008832                   -2.5169e-04
gamma_hhincome_d                                -4.0820e-04                     3.351e-06
gamma_ev_charge_d                                 -0.008206                    2.3214e-04
gamma_knowledge_ev_d                             6.6537e-04                    1.9755e-04
gamma_evb_environment_agree_d                      0.001987                    5.4164e-04
gamma_evb_function_disagree_d                     -0.003471                    3.9091e-04
gamma_hhveh_fuel_d                                 0.003301                    -4.710e-05
gamma_veh_range_d                                 -0.008484                    1.1683e-04
gamma_suv_d                                       -0.003581                    4.7637e-04
delta_e                                            0.018771                    9.8221e-04
gamma_EV_rangeanxiety_e                           -0.007968                   -4.1075e-04
gamma_risktaker_e                                  0.003116                   -1.3221e-04
gamma_hhincome_e                                 -2.836e-05                    -8.775e-06
gamma_ev_charge_e                                 -0.003337                   -1.2538e-04
gamma_knowledge_ev_e                               0.005106                    -5.339e-05
gamma_evb_environment_agree_e                     -0.001799                     3.252e-05
gamma_evb_function_disagree_e                     -0.011289                   -4.9802e-04
gamma_hhveh_fuel_e                                -0.008669                   -3.1757e-04
gamma_veh_range_e                                 -0.004935                   -2.5941e-04
gamma_suv_e                                        0.010674                    9.8231e-04
delta_f                                         -5.9049e-04                   -2.3372e-04
gamma_EV_rangeanxiety_f                            0.021843                   -6.5638e-04
gamma_risktaker_f                                  0.005654                   -6.7233e-04
gamma_hhincome_f                                   0.002338                    -6.175e-05
gamma_ev_charge_f                                  0.007744                    2.2963e-04
gamma_knowledge_ev_f                               0.009122                     6.027e-05
gamma_evb_environment_agree_f                      0.001834                      0.001032
gamma_evb_function_disagree_f                      0.028125                   -8.6338e-04
gamma_hhveh_fuel_f                                 0.001156                    5.4885e-04
gamma_veh_range_f                                  0.004001                   -1.9147e-04
gamma_suv_f                                       -0.028593                      0.002395
                                              b_range_pw1_c                 b_range_pw2_c
b_no_choice_a                                      0.004315                     -0.008521
b_mileage_a                                        0.005362                      0.002215
b_range_pw1_a                                     -0.007425                     -0.016995
b_range_pw2_a                                      0.023025                      0.025148
b_range_pw3_a                                    1.1961e-04                      0.002604
b_loss_pw1_a                                       0.001381                    5.9520e-04
b_loss_pw2_a                                     5.6026e-04                    5.7880e-04
b_loss_pw3_a                                     -3.618e-05                    -7.836e-05
b_packreplace_a                                  8.1160e-04                      0.002436
b_cellreplace_a                                   -0.004595                     -0.002833
b_price_a                                         -0.007312                     -0.005026
b_no_choice_b                                      0.062167                      0.138627
b_mileage_b                                        0.001903                      0.001929
b_range_pw1_b                                      0.018227                      0.029371
b_range_pw2_b                                      0.011032                      0.018207
b_range_pw3_b                                     6.425e-05                      0.020914
b_loss_pw1_b                                       0.001084                      0.003847
b_loss_pw2_b                                     3.1559e-04                      0.001488
b_loss_pw3_b                                     3.3461e-04                      0.001729
b_packreplace_b                                    0.001604                      0.006819
b_cellreplace_b                                    0.001794                      0.009137
b_price_b                                          0.003696                      0.009801
b_no_choice_c                                      0.057927                     -0.159836
b_mileage_c                                       -0.008428                     -0.003478
b_range_pw1_c                                      0.168078                      0.040775
b_range_pw2_c                                      0.040775                      0.244376
b_range_pw3_c                                      0.025428                      0.134181
b_loss_pw1_c                                      -0.002271                     -0.004244
b_loss_pw2_c                                     -8.696e-05                    9.0002e-04
b_loss_pw3_c                                    -3.0411e-04                   -8.9356e-04
b_packreplace_c                                    0.004639                      0.015291
b_cellreplace_c                                   -0.001326                      0.003550
b_price_c                                         -0.012719                     -0.087142
b_no_choice_d                                      0.015760                      0.034942
b_mileage_d                                      3.7954e-04                   -7.4285e-04
b_range_pw1_d                                      0.011337                      0.029996
b_range_pw2_d                                      0.003396                      0.006681
b_range_pw3_d                                      0.001200                      0.013227
b_loss_pw1_d                                     -1.958e-05                   -2.9645e-04
b_loss_pw2_d                                     -1.169e-05                    -4.676e-05
b_loss_pw3_d                                    -1.9870e-04                   -2.8439e-04
b_packreplace_d                                   -0.003224                     -0.002517
b_cellreplace_d                                   -0.002052                     -0.001502
b_price_d                                        4.2723e-04                    7.2379e-04
b_no_choice_e                                      0.010576                      0.017692
b_mileage_e                                      2.8245e-04                   -2.3578e-04
b_range_pw1_e                                      0.015920                      0.015855
b_range_pw2_e                                    -3.204e-05                     -0.004340
b_range_pw3_e                                    -2.439e-05                    2.4746e-04
b_loss_pw1_e                                     1.8723e-04                     5.928e-05
b_loss_pw2_e                                    -2.0459e-04                   -1.1250e-04
b_loss_pw3_e                                     -8.308e-05                     7.266e-05
b_packreplace_e                                    0.001289                   -9.7438e-04
b_cellreplace_e                                    0.003028                   -1.4237e-04
b_price_e                                         -0.002368                      0.001398
b_no_choice_f                                      0.070522                     -0.035147
b_mileage_f                                        0.002240                    5.5211e-04
b_range_pw1_f                                      0.014586                     -0.032321
b_range_pw2_f                                     -0.016176                     -0.027101
b_range_pw3_f                                      0.001027                     -0.012922
b_loss_pw1_f                                     1.5453e-04                    6.3709e-04
b_loss_pw2_f                                    -2.7481e-04                   -1.5061e-04
b_loss_pw3_f                                     1.9138e-04                    1.6830e-04
b_packreplace_f                                    0.005355                      0.002524
b_cellreplace_f                                    0.004041                      0.004369
b_price_f                                          0.015039                      0.003968
delta_b                                           -0.003695                     -0.006664
gamma_EV_rangeanxiety_b                            0.003626                      0.002772
gamma_risktaker_b                                  0.002068                     -0.001249
gamma_hhincome_b                                  4.646e-05                    1.8917e-04
gamma_ev_charge_b                                  0.001452                      0.007296
gamma_knowledge_ev_b                             2.4895e-04                      0.003266
gamma_evb_environment_agree_b                     -0.004404                   -2.8155e-04
gamma_evb_function_disagree_b                    4.0936e-04                      0.006989
gamma_hhveh_fuel_b                                -0.001438                   -6.9534e-04
gamma_veh_range_b                                  0.001722                      0.003353
gamma_suv_b                                       -0.006652                     -0.001542
delta_c                                           -0.019322                     -0.024618
gamma_EV_rangeanxiety_c                           -0.007307                     -0.004915
gamma_risktaker_c                                 -0.007488                      0.004505
gamma_hhincome_c                                 -8.148e-05                    -9.728e-05
gamma_ev_charge_c                               -7.5197e-04                     -0.006873
gamma_knowledge_ev_c                              -0.003865                      0.002639
gamma_evb_environment_agree_c                      0.004057                   -5.4911e-04
gamma_evb_function_disagree_c                     -0.006042                      0.001144
gamma_hhveh_fuel_c                                 0.013913                      0.014753
gamma_veh_range_c                               -3.0360e-04                    4.8984e-04
gamma_suv_c                                        0.015723                     -0.018219
delta_d                                           -0.004559                     -0.003568
gamma_EV_rangeanxiety_d                            0.003007                      0.002936
gamma_risktaker_d                                4.3034e-04                     -0.003940
gamma_hhincome_d                                 1.0859e-04                    1.4179e-04
gamma_ev_charge_d                                4.0338e-04                      0.003017
gamma_knowledge_ev_d                             5.7166e-04                    8.0830e-04
gamma_evb_environment_agree_d                     -0.003196                    4.9097e-04
gamma_evb_function_disagree_d                     -0.001942                    7.3018e-04
gamma_hhveh_fuel_d                              -6.1677e-04                     -0.002145
gamma_veh_range_d                                  0.001237                      0.003444
gamma_suv_d                                       -0.003787                     -0.002197
delta_e                                           -0.006740                     -0.002172
gamma_EV_rangeanxiety_e                            0.003489                      0.002726
gamma_risktaker_e                                  0.001299                   -3.3514e-04
gamma_hhincome_e                                  6.409e-05                    -6.017e-07
gamma_ev_charge_e                                  0.001046                      0.001144
gamma_knowledge_ev_e                             4.0298e-04                     -0.001704
gamma_evb_environment_agree_e                   -5.3081e-04                   -6.7696e-04
gamma_evb_function_disagree_e                      0.002156                    -7.054e-05
gamma_hhveh_fuel_e                                9.100e-05                   -1.4563e-04
gamma_veh_range_e                                  0.001767                    4.0962e-04
gamma_suv_e                                       -0.006143                   -8.0632e-04
delta_f                                           -0.006764                      0.003450
gamma_EV_rangeanxiety_f                            0.004729                     -0.001941
gamma_risktaker_f                                  0.004477                     -0.003979
gamma_hhincome_f                                 7.5792e-04                   -3.5777e-04
gamma_ev_charge_f                                  0.001623                      0.001979
gamma_knowledge_ev_f                              -0.001047                     -0.002332
gamma_evb_environment_agree_f                     -0.002753                   -9.5926e-04
gamma_evb_function_disagree_f                      0.006757                   -5.5164e-04
gamma_hhveh_fuel_f                              -7.0144e-04                    4.3471e-04
gamma_veh_range_f                                  0.001226                     -0.001366
gamma_suv_f                                       -0.011518                    -6.236e-05
                                              b_range_pw3_c                  b_loss_pw1_c
b_no_choice_a                                     -0.018384                    2.3733e-04
b_mileage_a                                       -0.003674                    -3.714e-06
b_range_pw1_a                                     -0.009994                    3.9003e-04
b_range_pw2_a                                     -0.004096                   -4.2721e-04
b_range_pw3_a                                     -0.002512                     2.927e-05
b_loss_pw1_a                                    -9.9358e-04                     2.117e-06
b_loss_pw2_a                                    -7.2919e-04                    -8.969e-06
b_loss_pw3_a                                      9.618e-05                    -1.336e-06
b_packreplace_a                                    0.001424                    -9.023e-05
b_cellreplace_a                                    0.003237                     9.570e-06
b_price_a                                          0.004003                    -1.954e-05
b_no_choice_b                                      0.266307                     -0.004139
b_mileage_b                                     -1.7881e-04                    -8.590e-06
b_range_pw1_b                                      0.044852                   -6.9655e-04
b_range_pw2_b                                      0.027432                   -4.0312e-04
b_range_pw3_b                                      0.073028                   -6.4122e-04
b_loss_pw1_b                                       0.009324                   -1.6264e-04
b_loss_pw2_b                                       0.004719                    -4.278e-05
b_loss_pw3_b                                       0.003618                    -3.651e-05
b_packreplace_b                                    0.013443                   -1.8254e-04
b_cellreplace_b                                    0.020432                   -2.3696e-04
b_price_b                                          0.012568                   -2.8102e-04
b_no_choice_c                                     -0.294359                      0.009085
b_mileage_c                                        0.010798                     4.388e-05
b_range_pw1_c                                      0.025428                     -0.002271
b_range_pw2_c                                      0.134181                     -0.004244
b_range_pw3_c                                      0.591302                     -0.006745
b_loss_pw1_c                                      -0.006745                    6.5626e-04
b_loss_pw2_c                                     9.0127e-04                   -1.8246e-04
b_loss_pw3_c                                       0.002997                     6.374e-05
b_packreplace_c                                    0.050764                   -4.1226e-04
b_cellreplace_c                                    0.027567                   -1.6701e-04
b_price_c                                         -0.191909                      0.002976
b_no_choice_d                                      0.062741                     -0.001930
b_mileage_d                                       -0.001462                     1.348e-05
b_range_pw1_d                                      0.055567                     -0.001340
b_range_pw2_d                                      0.017749                   -3.6840e-04
b_range_pw3_d                                      0.033361                   -4.7753e-04
b_loss_pw1_d                                    -7.9134e-04                    -6.955e-06
b_loss_pw2_d                                     -3.439e-05                     5.790e-06
b_loss_pw3_d                                    -7.1751e-04                     1.270e-05
b_packreplace_d                                   -0.002577                     3.869e-05
b_cellreplace_d                                   -0.002718                    -2.638e-06
b_price_d                                          0.001280                    -3.804e-05
b_no_choice_e                                      0.018426                   -7.7280e-04
b_mileage_e                                     -4.3864e-04                    -1.388e-06
b_range_pw1_e                                      0.012374                   -5.8643e-04
b_range_pw2_e                                     -0.006315                    1.8460e-04
b_range_pw3_e                                    6.5629e-04                    -3.436e-05
b_loss_pw1_e                                     2.0120e-04                    -1.922e-05
b_loss_pw2_e                                     4.2107e-04                     5.553e-06
b_loss_pw3_e                                     1.6358e-04                    -6.265e-06
b_packreplace_e                                   -0.002469                     5.793e-05
b_cellreplace_e                                   -0.003615                     4.326e-05
b_price_e                                        -1.869e-05                     1.084e-06
b_no_choice_f                                     -0.384661                      0.001485
b_mileage_f                                       -0.007021                     8.474e-06
b_range_pw1_f                                     -0.138490                      0.001545
b_range_pw2_f                                    4.3145e-04                    7.0940e-04
b_range_pw3_f                                     -0.033327                    2.1644e-04
b_loss_pw1_f                                     2.0239e-04                    -7.344e-05
b_loss_pw2_f                                     7.1678e-04                     1.548e-05
b_loss_pw3_f                                    -3.3963e-04                    -6.091e-06
b_packreplace_f                                   -0.014401                   -1.2074e-04
b_cellreplace_f                                    0.002387                   -1.6369e-04
b_price_f                                         -0.031820                   -1.3253e-04
delta_b                                           -0.028703                    2.7295e-04
gamma_EV_rangeanxiety_b                         -7.7668e-04                    -7.880e-05
gamma_risktaker_b                                 -0.009164                     1.939e-05
gamma_hhincome_b                                 6.0046e-04                    -9.615e-06
gamma_ev_charge_b                                  0.014490                   -1.5406e-04
gamma_knowledge_ev_b                               0.011924                    -9.332e-05
gamma_evb_environment_agree_b                      0.013166                    -2.288e-05
gamma_evb_function_disagree_b                      0.020120                   -2.0915e-04
gamma_hhveh_fuel_b                                 0.004532                    -1.161e-05
gamma_veh_range_b                                  0.009261                   -1.0081e-04
gamma_suv_b                                        0.018477                    -4.886e-05
delta_c                                            0.015605                      0.001076
gamma_EV_rangeanxiety_c                            0.014252                    1.2922e-04
gamma_risktaker_c                                  0.010470                    1.4233e-04
gamma_hhincome_c                                 -8.616e-05                     5.795e-06
gamma_ev_charge_c                                 -0.013029                    1.6873e-04
gamma_knowledge_ev_c                              -0.005623                   -3.2888e-04
gamma_evb_environment_agree_c                     -0.024577                   -2.0068e-04
gamma_evb_function_disagree_c                      0.022132                    -4.770e-05
gamma_hhveh_fuel_c                                 0.016031                   -5.6647e-04
gamma_veh_range_c                                 -0.004613                    -7.085e-05
gamma_suv_c                                       -0.123630                    8.9373e-04
delta_d                                           -0.009099                    1.4182e-04
gamma_EV_rangeanxiety_d                          -6.320e-05                    -7.855e-05
gamma_risktaker_d                                 -0.012253                    1.6076e-04
gamma_hhincome_d                                 3.2505e-04                    -5.907e-06
gamma_ev_charge_d                                  0.007844                   -1.3915e-04
gamma_knowledge_ev_d                               0.005508                    -7.852e-05
gamma_evb_environment_agree_d                      0.005655                    -2.739e-05
gamma_evb_function_disagree_d                      0.011433                   -1.2660e-04
gamma_hhveh_fuel_d                                -0.004069                     7.107e-05
gamma_veh_range_d                                  0.007779                   -1.3654e-04
gamma_suv_d                                        0.005538                    1.0457e-04
delta_e                                            0.006725                    -3.192e-05
gamma_EV_rangeanxiety_e                           -0.001902                    -3.811e-05
gamma_risktaker_e                                 -0.005410                     3.575e-05
gamma_hhincome_e                                -3.3617e-04                     4.136e-06
gamma_ev_charge_e                                 -0.001271                    -1.965e-05
gamma_knowledge_ev_e                              -0.002925                     5.603e-05
gamma_evb_environment_agree_e                      0.002608                    -3.786e-05
gamma_evb_function_disagree_e                      0.002073                    -2.188e-05
gamma_hhveh_fuel_e                              -2.5687e-04                     1.117e-05
gamma_veh_range_e                               -9.8581e-04                    -3.049e-06
gamma_suv_e                                        0.007389                     9.686e-06
delta_f                                            0.001703                   -2.3803e-04
gamma_EV_rangeanxiety_f                           -0.021819                    1.0011e-04
gamma_risktaker_f                                 -0.009845                     3.227e-05
gamma_hhincome_f                                  -0.001670                     1.208e-05
gamma_ev_charge_f                                  0.002742                   -1.3081e-04
gamma_knowledge_ev_f                              -0.004062                    1.4699e-04
gamma_evb_environment_agree_f                      0.010864                     4.324e-05
gamma_evb_function_disagree_f                     -0.016609                    -8.712e-06
gamma_hhveh_fuel_f                                 0.004584                     7.072e-05
gamma_veh_range_f                                 -0.005197                     7.201e-05
gamma_suv_f                                        0.036961                   -1.1195e-04
                                               b_loss_pw2_c                  b_loss_pw3_c
b_no_choice_a                                   -2.7446e-04                    1.4320e-04
b_mileage_a                                      1.1615e-04                   -1.4939e-04
b_range_pw1_a                                   -5.4445e-04                    4.4809e-04
b_range_pw2_a                                    7.7988e-04                   -8.0617e-04
b_range_pw3_a                                     4.181e-05                   -1.0039e-04
b_loss_pw1_a                                      2.854e-05                    -3.757e-05
b_loss_pw2_a                                      1.734e-05                    -2.305e-05
b_loss_pw3_a                                     -3.542e-06                     1.437e-05
b_packreplace_a                                   8.439e-05                    -4.636e-05
b_cellreplace_a                                  -8.153e-05                    1.3187e-04
b_price_a                                       -2.3337e-04                    2.7949e-04
b_no_choice_b                                      0.002870                      0.001301
b_mileage_b                                       3.808e-05                    -2.605e-05
b_range_pw1_b                                    6.6652e-04                    2.8827e-04
b_range_pw2_b                                    5.4382e-04                     5.173e-06
b_range_pw3_b                                    4.2399e-04                    3.6465e-04
b_loss_pw1_b                                      8.697e-05                     5.210e-05
b_loss_pw2_b                                      1.272e-05                     4.781e-05
b_loss_pw3_b                                      3.367e-05                    -2.579e-05
b_packreplace_b                                  1.9309e-04                     7.194e-05
b_cellreplace_b                                  1.8884e-04                     7.407e-05
b_price_b                                        1.5801e-04                    -2.368e-05
b_no_choice_c                                     -0.002737                    4.2037e-04
b_mileage_c                                      -4.599e-05                    1.5901e-04
b_range_pw1_c                                    -8.696e-05                   -3.0411e-04
b_range_pw2_c                                    9.0002e-04                   -8.9356e-04
b_range_pw3_c                                    9.0127e-04                      0.002997
b_loss_pw1_c                                    -1.8246e-04                     6.374e-05
b_loss_pw2_c                                     2.5568e-04                   -1.4799e-04
b_loss_pw3_c                                    -1.4799e-04                    3.5628e-04
b_packreplace_c                                 -1.1140e-04                    1.7337e-04
b_cellreplace_c                                 -1.0864e-04                    2.8619e-04
b_price_c                                       -4.9847e-04                   -5.4187e-04
b_no_choice_d                                   -2.4213e-04                    2.4947e-04
b_mileage_d                                      -1.549e-05                    -2.389e-07
b_range_pw1_d                                   -3.3807e-04                    2.9368e-04
b_range_pw2_d                                     8.175e-05                    -3.982e-05
b_range_pw3_d                                    -6.154e-05                    1.5259e-04
b_loss_pw1_d                                      3.486e-06                    -5.452e-06
b_loss_pw2_d                                     -3.494e-07                     6.336e-06
b_loss_pw3_d                                      1.324e-05                    -7.955e-06
b_packreplace_d                                  -1.529e-05                     2.866e-05
b_cellreplace_d                                  -8.379e-06                    -5.965e-06
b_price_d                                        -2.123e-05                     2.828e-07
b_no_choice_e                                    5.7755e-04                   -3.1632e-04
b_mileage_e                                       4.272e-06                    -2.579e-06
b_range_pw1_e                                    7.0199e-04                   -4.3087e-04
b_range_pw2_e                                   -1.8623e-04                     9.641e-05
b_range_pw3_e                                    -1.021e-05                    -7.474e-06
b_loss_pw1_e                                      5.278e-06                    -4.252e-06
b_loss_pw2_e                                     -1.215e-05                     1.467e-05
b_loss_pw3_e                                      1.482e-06                    -8.631e-06
b_packreplace_e                                   1.276e-05                    -3.801e-05
b_cellreplace_e                                   2.559e-05                    -6.691e-05
b_price_e                                        -5.837e-05                     2.361e-05
b_no_choice_f                                     -0.002485                     -0.002364
b_mileage_f                                       2.222e-05                    -9.417e-05
b_range_pw1_f                                   -7.6436e-04                     -0.001085
b_range_pw2_f                                   -3.3130e-04                    4.6535e-04
b_range_pw3_f                                   -1.1245e-04                     8.813e-05
b_loss_pw1_f                                      1.350e-05                     1.029e-05
b_loss_pw2_f                                     -3.807e-05                     2.156e-05
b_loss_pw3_f                                      2.643e-06                    -3.775e-05
b_packreplace_f                                   2.537e-05                   -1.4516e-04
b_cellreplace_f                                  -9.388e-06                    -9.735e-06
b_price_f                                       -3.5988e-04                   -3.3174e-04
delta_b                                         -1.7121e-04                   -1.1710e-04
gamma_EV_rangeanxiety_b                           6.585e-05                    -2.494e-05
gamma_risktaker_b                                -2.202e-05                    -3.636e-05
gamma_hhincome_b                                  8.172e-06                    -6.181e-07
gamma_ev_charge_b                                 9.638e-05                     4.066e-05
gamma_knowledge_ev_b                              9.061e-05                     7.525e-05
gamma_evb_environment_agree_b                    -3.530e-05                    1.0455e-04
gamma_evb_function_disagree_b                    1.8167e-04                     6.338e-05
gamma_hhveh_fuel_b                                2.585e-06                     2.561e-05
gamma_veh_range_b                                 5.125e-05                     7.719e-05
gamma_suv_b                                      -2.406e-05                    1.3091e-04
delta_c                                         -6.1536e-04                    5.8604e-04
gamma_EV_rangeanxiety_c                          -8.277e-05                     9.349e-05
gamma_risktaker_c                                 2.452e-05                     4.325e-05
gamma_hhincome_c                                 -5.664e-06                    -8.296e-06
gamma_ev_charge_c                                 7.162e-05                    -6.361e-05
gamma_knowledge_ev_c                             1.6080e-04                     4.578e-05
gamma_evb_environment_agree_c                    2.5468e-04                   -2.6393e-04
gamma_evb_function_disagree_c                    -6.161e-05                    1.7842e-04
gamma_hhveh_fuel_c                                9.628e-05                    1.0116e-04
gamma_veh_range_c                                 4.905e-05                    -8.098e-05
gamma_suv_c                                     -3.1556e-04                   -8.7566e-04
delta_d                                           7.416e-06                     3.160e-05
gamma_EV_rangeanxiety_d                           7.794e-05                    -6.676e-05
gamma_risktaker_d                                -5.806e-05                    -5.185e-05
gamma_hhincome_d                                  2.799e-06                    -7.938e-07
gamma_ev_charge_d                                -3.478e-06                     4.363e-05
gamma_knowledge_ev_d                             -3.139e-06                     4.305e-05
gamma_evb_environment_agree_d                    -2.574e-05                     4.422e-05
gamma_evb_function_disagree_d                    -8.825e-05                    1.3723e-04
gamma_hhveh_fuel_d                                8.607e-05                    -5.805e-05
gamma_veh_range_d                                -6.321e-05                     3.436e-05
gamma_suv_d                                      -8.603e-06                     4.469e-05
delta_e                                         -1.6658e-04                    2.1713e-04
gamma_EV_rangeanxiety_e                          1.0570e-04                    -7.656e-05
gamma_risktaker_e                                -1.698e-05                    -2.414e-05
gamma_hhincome_e                                  3.098e-06                    -4.505e-06
gamma_ev_charge_e                                 1.503e-05                    -3.070e-05
gamma_knowledge_ev_e                             -2.232e-05                     9.786e-06
gamma_evb_environment_agree_e                    -1.868e-05                     2.305e-05
gamma_evb_function_disagree_e                     8.346e-05                    -5.759e-05
gamma_hhveh_fuel_e                                4.828e-05                    -5.674e-05
gamma_veh_range_e                                 3.013e-05                    -4.004e-05
gamma_suv_e                                     -1.1441e-04                    1.1648e-04
delta_f                                         -2.6511e-04                    2.4950e-04
gamma_EV_rangeanxiety_f                          -4.670e-06                   -1.5711e-04
gamma_risktaker_f                                -6.177e-05                    -5.817e-05
gamma_hhincome_f                                  7.786e-06                    -1.126e-05
gamma_ev_charge_f                                -2.000e-05                    -2.975e-05
gamma_knowledge_ev_f                            -1.0538e-04                   -1.2898e-04
gamma_evb_environment_agree_f                   -1.0074e-04                    1.6001e-04
gamma_evb_function_disagree_f                    -2.501e-05                   -1.3871e-04
gamma_hhveh_fuel_f                                1.807e-05                    -7.984e-05
gamma_veh_range_f                                 4.918e-05                    -5.581e-05
gamma_suv_f                                       3.313e-05                    3.3619e-04
                                            b_packreplace_c               b_cellreplace_c
b_no_choice_a                                     -0.002061                     -0.001316
b_mileage_a                                      4.9170e-04                   -2.6868e-04
b_range_pw1_a                                     -0.003297                    -9.964e-06
b_range_pw2_a                                      0.002765                     -0.002040
b_range_pw3_a                                   -3.9895e-04                   -1.8512e-04
b_loss_pw1_a                                     1.0229e-04                   -1.1149e-04
b_loss_pw2_a                                     -1.371e-05                    -9.177e-05
b_loss_pw3_a                                      6.456e-05                     2.604e-05
b_packreplace_a                                  8.2333e-04                     6.955e-05
b_cellreplace_a                                 -1.8954e-04                    5.8205e-04
b_price_a                                       -4.5773e-04                    3.4967e-04
b_no_choice_b                                      0.021208                      0.014372
b_mileage_b                                       2.809e-05                    1.5424e-04
b_range_pw1_b                                      0.002779                      0.001889
b_range_pw2_b                                      0.002111                      0.001251
b_range_pw3_b                                      0.007057                      0.003992
b_loss_pw1_b                                     8.0202e-04                    5.2115e-04
b_loss_pw2_b                                     4.0130e-04                    2.7743e-04
b_loss_pw3_b                                     5.4362e-04                    3.8952e-04
b_packreplace_b                                   -0.002511                     -0.002352
b_cellreplace_b                                   -0.001104                     -0.002605
b_price_b                                          0.002044                      0.001740
b_no_choice_c                                     -0.025052                     -0.007570
b_mileage_c                                        0.001521                      0.001080
b_range_pw1_c                                      0.004639                     -0.001326
b_range_pw2_c                                      0.015291                      0.003550
b_range_pw3_c                                      0.050764                      0.027567
b_loss_pw1_c                                    -4.1226e-04                   -1.6701e-04
b_loss_pw2_c                                    -1.1140e-04                   -1.0864e-04
b_loss_pw3_c                                     1.7337e-04                    2.8619e-04
b_packreplace_c                                    0.027639                      0.017087
b_cellreplace_c                                    0.017087                      0.022572
b_price_c                                         -0.024607                     -0.016103
b_no_choice_d                                      0.011844                      0.008240
b_mileage_d                                     -2.0982e-04                   -2.2360e-04
b_range_pw1_d                                      0.008941                      0.006556
b_range_pw2_d                                      0.002211                      0.001280
b_range_pw3_d                                      0.005850                      0.004210
b_loss_pw1_d                                     -9.722e-05                    -3.267e-05
b_loss_pw2_d                                     -3.781e-05                    -9.108e-06
b_loss_pw3_d                                    -1.0970e-04                    -8.208e-05
b_packreplace_d                                   -0.001975                     -0.001427
b_cellreplace_d                                   -0.001722                     -0.001707
b_price_d                                        7.1023e-04                    4.8874e-04
b_no_choice_e                                      0.001868                     -0.002217
b_mileage_e                                     -1.2711e-04                   -1.4424e-04
b_range_pw1_e                                      0.004012                   -9.4860e-04
b_range_pw2_e                                     -0.001702                   -7.1294e-04
b_range_pw3_e                                    7.2288e-04                    4.3274e-04
b_loss_pw1_e                                      2.071e-05                    -1.747e-05
b_loss_pw2_e                                      2.937e-05                     4.952e-05
b_loss_pw3_e                                     -6.770e-05                    -3.465e-05
b_packreplace_e                                 -6.3396e-04                   -5.5503e-04
b_cellreplace_e                                 -4.5929e-04                     -0.001105
b_price_e                                       -5.8458e-04                   -1.3844e-04
b_no_choice_f                                     -0.073005                     -0.045467
b_mileage_f                                     -4.3396e-04                    -2.080e-05
b_range_pw1_f                                     -0.023993                     -0.012808
b_range_pw2_f                                   -3.6737e-04                     -0.001931
b_range_pw3_f                                     -0.012050                     -0.009904
b_loss_pw1_f                                     -8.093e-05                    -2.561e-05
b_loss_pw2_f                                     1.8512e-04                     6.475e-05
b_loss_pw3_f                                      1.033e-06                     3.647e-05
